FOI Number,FOI Date (Machine),FOI Date (Human),FOI Title,FOI URL,PDF INDEX,PDF COUNT,PDF URL,Processed
4343-2023,2023-05-27T12:00:00Z,27 May 2023,FOI 4343 - Production and Manufacture of Cannabis by Licence Holders,https://www.health.gov.au/resources/foi-disclosure-log/foi-4343-production-and-manufacture-of-cannabis-by-licence-holders,1,1,https://www.health.gov.au/sites/default/files/2023-06/foi-4343---production-and-manufacture-of-cannabis-by-licence-holders_0.pdf,Downloaded
4293-2023,2023-05-26T12:00:00Z,26 May 2023,FOI 4293 - Facebook posts and tweets categorized as Misleading Information,https://www.health.gov.au/resources/foi-disclosure-log/foi-4293-facebook-posts-and-tweets-categorized-as-misleading-information,1,1,https://www.health.gov.au/sites/default/files/2023-06/foi-4293---facebook-posts-and-tweets-categorized-as-misleading-information.pdf,Downloaded
4198-2023,2023-05-19T12:00:00Z,19 May 2023,FOI 4198 – released document – Document related to CDDA claims,https://www.health.gov.au/resources/foi-disclosure-log/foi-4198-released-document-document-related-to-cdda-claims,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-4198-released-document-document-related-to-cdda-claims.pdf,Downloaded
4318-2023,2023-05-17T12:00:00Z,17 May 2023,FOI 4318 – release of documents – Improving LGBT health,https://www.health.gov.au/resources/foi-disclosure-log/foi-4318-release-of-documents-improving-lgbt-health,1,1,https://www.health.gov.au/sites/default/files/2023-06/foi-4318-release-of-documents-improving-lgbt-health.pdf,Downloaded
4056-2023,2023-05-16T12:00:00Z,16 May 2023,FOI 4056 – documents for release – Documents related to Project Synergy and Innowell,https://www.health.gov.au/resources/foi-disclosure-log/foi-4056-documents-for-release-documents-related-to-project-synergy-and-innowell,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-4056-documents-for-release-documents-related-to-project-synergy-and-innowell.pdf,Downloaded
3793-2023,2023-05-16T12:00:00Z,16 May 2023,FOI 3793 – documents released – Documents related to the Australian evidence-based clinical practice guideline for ADHD,https://www.health.gov.au/resources/foi-disclosure-log/foi-3793-documents-released-documents-related-to-the-australian-evidence-based-clinical-practice-guideline-for-adhd,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-3793-documents-released-documents-related-to-the-australian-evidence-based-clinical-practice-guideline-for-adhd_0.pdf,Downloaded
3726-2023,2023-05-16T12:00:00Z,16 May 2023,FOI 3726 – documents released – Vaccination status of international travellers,https://www.health.gov.au/resources/foi-disclosure-log/foi-3726-documents-released-vaccination-status-of-international-travellers,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-3726-documents-released-vaccination-status-of-international-travellers.pdf,Downloaded
3962-2023,2023-05-12T12:00:00Z,12 May 2023,FOI 3962 – documents released – Documents related to department travel,https://www.health.gov.au/resources/foi-disclosure-log/foi-3962-documents-released-documents-related-to-department-travel,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-3962-documents-released-documents-related-to-department-travel_0.pdf,Downloaded
4048-2023,2023-05-12T12:00:00Z,12 May 2023,FOI 4048 – documents released – Review of the supply chain supporting the COVID-19 vaccine rollout,https://www.health.gov.au/resources/foi-disclosure-log/foi-4048-documents-released-review-of-the-supply-chain-supporting-the-covid-19-vaccine-rollout,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-4048-documents-released-review-of-the-supply-chain-supporting-the-covid-19-vaccine-rollout_0.pdf,Downloaded
4022-2023,2023-05-12T12:00:00Z,12 May 2023,FOI 4022 – documents released – Documents related to the process of selecting the Flinders University Quality of Life instrument,https://www.health.gov.au/resources/foi-disclosure-log/foi-4022-documents-released-documents-related-to-the-process-of-selecting-the-flinders-university-quality-of-life-instrument,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-4022-documents-released-documents-related-to-the-process-of-selecting-the-flinders-university-quality-of-life-instrument.pdf,Downloaded
